Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,PriorExperience
51,Current employee,Travel_Rarely,3,3,Medical,Female,4,Healthcare Representative,Single,7192,3,No,21,7,14
51,Current employee,Travel_Rarely,3,3,Life Sciences,Female,4,Healthcare Representative,Single,7192,0,No,21,7,14
56,Current employee,Travel_Frequently,6,3,Life Sciences,Female,4,Healthcare Representative,Single,7192,3,No,21,7,14
56,Current employee,Travel_Frequently,6,3,Marketing,Female,4,Healthcare Representative,Single,7192,0,No,21,7,14
51,Current employee,Travel_Rarely,3,3,Medical,Female,4,Healthcare Representative,Single,7192,3,No,21,7,14
56,Current employee,Travel_Frequently,6,3,Life Sciences,Female,4,Healthcare Representative,Single,7192,3,No,21,7,14
51,Current employee,Travel_Rarely,3,3,Life Sciences,Female,4,Healthcare Representative,Single,7192,0,No,21,7,14
56,Current employee,Travel_Frequently,6,3,Marketing,Female,4,Healthcare Representative,Single,7192,0,No,21,7,14
51,Current employee,Travel_Rarely,3,3,Medical,Female,4,Healthcare Representative,Single,7192,3,No,21,7,14
51,Current employee,Travel_Rarely,3,3,Life Sciences,Female,4,Healthcare Representative,Single,7192,0,No,21,7,14
56,Current employee,Travel_Frequently,6,3,Life Sciences,Female,4,Healthcare Representative,Single,7192,3,No,21,7,14
56,Current employee,Travel_Frequently,6,3,Marketing,Female,4,Healthcare Representative,Single,7192,0,No,21,7,14
52,Current employee,Travel_Rarely,1,4,Life Sciences,Male,5,Manager,Married,5678,0,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Human Resources,Male,5,Manager,Married,5678,1,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Life Sciences,Male,5,Manager,Married,5678,0,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Human Resources,Male,5,Manager,Married,5678,1,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Life Sciences,Male,5,Manager,Married,5678,0,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Human Resources,Male,5,Manager,Married,5678,1,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Life Sciences,Male,5,Manager,Married,5678,0,No,34,33,1
52,Current employee,Travel_Rarely,1,4,Human Resources,Male,5,Manager,Married,5678,1,No,34,33,1
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,1,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,1,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,3,No,7,7,0
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,3,No,7,7,0
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,1,No,7,7,0
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,3,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,1,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,3,No,7,7,0
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,1,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,1,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,3,No,7,7,0
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Laboratory Technician,Divorced,6054,6,No,9,6,3
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,1,No,7,7,0
27,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Single,11781,3,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,1,No,7,7,0
52,Current employee,Travel_Rarely,4,2,Life Sciences,Female,1,Research Scientist,Single,11781,3,No,7,7,0
35,Voluntary Resignation,Travel_Rarely,23,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Other,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Technical Degree,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Other,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Technical Degree,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Other,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Technical Degree,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
35,Voluntary Resignation,Travel_Rarely,23,2,Other,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Life Sciences,Male,2,Manufacturing Director,Married,15497,3,Yes,8,1,7
42,Current employee,Travel_Frequently,29,2,Technical Degree,Male,2,Manufacturing Director,Married,15497,1,Yes,8,1,7
43,Current employee,Non-Travel,7,3,Medical,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,2,No,7,5,2
43,Current employee,Non-Travel,7,3,Marketing,Male,1,Research Scientist,Divorced,5228,3,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,2,No,7,5,2
43,Current employee,Non-Travel,7,3,Medical,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
43,Current employee,Non-Travel,7,3,Marketing,Male,1,Research Scientist,Divorced,5228,3,No,7,5,2
43,Current employee,Non-Travel,7,3,Medical,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,2,No,7,5,2
43,Current employee,Non-Travel,7,3,Marketing,Male,1,Research Scientist,Divorced,5228,3,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
30,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Research Scientist,Divorced,5228,2,No,7,5,2
43,Current employee,Non-Travel,7,3,Medical,Male,1,Research Scientist,Divorced,5228,4,No,7,5,2
43,Current employee,Non-Travel,7,3,Marketing,Male,1,Research Scientist,Divorced,5228,3,No,7,5,2
45,Current employee,Non-Travel,2,2,Medical,Male,4,Manager,Married,20462,9,No,22,20,2
60,Current employee,Travel_Rarely,7,3,Life Sciences,Male,4,Manager,Married,20462,9,No,22,20,2
45,Current employee,Non-Travel,2,2,Life Sciences,Male,4,Manager,Married,20462,1,No,22,20,2
60,Current employee,Travel_Rarely,7,3,Marketing,Male,4,Manager,Married,20462,1,No,22,20,2
45,Current employee,Non-Travel,2,2,Medical,Male,4,Manager,Married,20462,9,No,22,20,2
45,Current employee,Non-Travel,2,2,Life Sciences,Male,4,Manager,Married,20462,1,No,22,20,2
60,Current employee,Travel_Rarely,7,3,Life Sciences,Male,4,Manager,Married,20462,9,No,16,16,0
60,Current employee,Travel_Rarely,7,3,Marketing,Male,4,Manager,Married,20462,1,No,22,20,2
45,Current employee,Non-Travel,2,2,Medical,Male,4,Manager,Married,20462,9,No,22,20,2
60,Current employee,Travel_Rarely,7,3,Life Sciences,Male,4,Manager,Married,20462,9,No,22,20,2
45,Current employee,Non-Travel,2,2,Life Sciences,Male,4,Manager,Married,20462,1,No,22,20,2
60,Current employee,Travel_Rarely,7,3,Marketing,Male,4,Manager,Married,20462,1,No,22,20,2
45,Current employee,Non-Travel,2,2,Medical,Male,4,Manager,Married,20462,9,No,22,20,2
45,Current employee,Non-Travel,2,2,Life Sciences,Male,4,Manager,Married,20462,1,No,22,20,2
60,Current employee,Travel_Rarely,7,3,Life Sciences,Male,4,Manager,Married,20462,9,No,16,16,0
60,Current employee,Travel_Rarely,7,3,Marketing,Male,4,Manager,Married,20462,1,No,22,20,2
37,Current employee,Travel_Rarely,21,3,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,2,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Other,Male,1,Research Scientist,Married,22977,3,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Other,Male,1,Research Scientist,Married,22977,3,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,2,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,2,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Other,Male,1,Research Scientist,Married,22977,3,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
37,Current employee,Travel_Rarely,21,3,Other,Male,1,Research Scientist,Married,22977,3,Yes,8,8,0
38,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Research Scientist,Married,22977,1,Yes,8,8,0
35,Current employee,Travel_Frequently,2,3,Medical,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Medical,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Medical,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Medical,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
35,Current employee,Travel_Frequently,2,3,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
40,Current employee,Travel_Rarely,2,,Life Sciences,Female,2,Laboratory Technician,Single,15986,5,No,10,6,4
40,Current employee,Travel_Rarely,2,4,Life Sciences,Female,2,Laboratory Technician,Single,15986,1,No,10,6,4
42,Current employee,Non-Travel,21,2,Medical,Female,2,Manufacturing Director,Divorced,16439,2,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Life Sciences,Female,2,Manufacturing Director,Divorced,16439,2,No,11,5,6
42,Current employee,Non-Travel,21,2,Other,Female,2,Manufacturing Director,Divorced,16439,1,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Other,Female,2,Manufacturing Director,Divorced,16439,1,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Life Sciences,Female,2,Manufacturing Director,Divorced,23213,2,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Other,Female,2,Manufacturing Director,Divorced,26551,1,No,11,5,6
42,Current employee,Non-Travel,21,2,Medical,Female,2,Manufacturing Director,Divorced,16439,2,No,11,5,6
42,Current employee,Non-Travel,21,2,Other,Female,2,Manufacturing Director,Divorced,16439,1,No,11,5,6
42,Current employee,Non-Travel,21,2,Medical,Female,2,Manufacturing Director,Divorced,16439,2,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Life Sciences,Female,2,Manufacturing Director,Divorced,16439,2,No,11,5,6
42,Current employee,Non-Travel,21,2,Other,Female,2,Manufacturing Director,Divorced,16439,1,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Other,Female,2,Manufacturing Director,Divorced,16439,1,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Life Sciences,Female,2,Manufacturing Director,Divorced,23213,2,No,11,5,6
26,Current employee,Travel_Rarely,23,3,Other,Female,2,Manufacturing Director,Divorced,23522,1,Yes,1,1,0
42,Current employee,Non-Travel,21,2,Medical,Female,2,Manufacturing Director,Divorced,16439,2,No,11,5,6
42,Current employee,Non-Travel,21,2,Other,Female,2,Manufacturing Director,Divorced,16439,1,No,11,5,6
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
30,Current employee,Non-Travel,3,3,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,9,No,14,1,13
38,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Manufacturing Director,Married,7259,1,No,14,1,13
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Life Sciences,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Life Sciences,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Life Sciences,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
38,Current employee,Travel_Rarely,29,3,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Life Sciences,Male,2,Manufacturing Director,Married,4185,3,No,9,7,2
50,Current employee,Travel_Rarely,29,4,Technical Degree,Male,2,Manufacturing Director,Married,4185,1,No,9,7,2
27,Current employee,Travel_Frequently,1,1,Technical Degree,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Human Resources,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Technical Degree,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Human Resources,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Technical Degree,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Human Resources,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Technical Degree,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
27,Current employee,Travel_Frequently,1,1,Human Resources,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,5,No,6,2,4
46,Current employee,Travel_Rarely,2,3,Life Sciences,Male,2,Manufacturing Director,Married,9679,1,No,6,2,4
49,Current employee,Non-Travel,18,4,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Medical,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Other,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Other,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Medical,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Medical,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Other,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
35,Current employee,Travel_Rarely,22,3,Other,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Life Sciences,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
49,Current employee,Non-Travel,18,4,Medical,Male,2,Manufacturing Director,Divorced,23793,1,Yes,7,7,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Life Sciences,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Life Sciences,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Life Sciences,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
34,Current employee,Travel_Frequently,10,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Life Sciences,Male,1,Research Scientist,Divorced,5972,1,Yes,5,5,0
54,Current employee,Travel_Rarely,8,4,Medical,Male,1,Research Scientist,Divorced,5972,3,Yes,5,5,0
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
34,Current employee,Travel_Rarely,2,4,Life Sciences,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,8,Yes,15,7,8
40,Current employee,Travel_Rarely,19,2,Medical,Male,2,Laboratory Technician,Married,16523,1,Yes,15,7,8
38,Voluntary Resignation,Travel_Rarely,29,1,Medical,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Life Sciences,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Medical,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Technical Degree,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Life Sciences,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Medical,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Medical,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Technical Degree,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Medical,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Life Sciences,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Medical,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Technical Degree,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Life Sciences,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
31,Current employee,Travel_Rarely,9,1,Medical,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Medical,Male,2,Healthcare Representative,Married,11354,7,Yes,17,1,16
38,Voluntary Resignation,Travel_Rarely,29,1,Technical Degree,Male,2,Healthcare Representative,Married,11354,0,Yes,17,1,16
29,Voluntary Resignation,Travel_Rarely,27,3,Marketing,Female,3,Sales Executive,Married,24525,1,No,10,10,0
35,Current employee,Travel_Rarely,16,3,Life Sciences,Female,3,Sales Executive,Married,24525,1,No,10,10,0
35,Current employee,Travel_Rarely,16,3,Medical,Female,3,Sales Executive,Married,24525,7,No,10,10,0
29,Voluntary Resignation,Travel_Rarely,27,3,Technical Degree,Female,3,Sales Executive,Married,24525,8,No,10,10,0
